language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,gradability ex,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,Intransitive use
Hindi,hin001,kah-,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,typically belief-implying,,always Q-to-P veridical,Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,incompatible,No
Hindi,hin001,N/A ,claim,communication,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,shikaayat,complain,communication,neither,neither,neither,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,non-gradable,,always belief-implying,non-gradable,always Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,
Hindi,hin001,samjha-,explain,communication,neither,neither,neither,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,,(??)always belief-implying/typically belief-implying,gradable,always Q-to-P veridical ,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,soochit,inform,communication,neither,neither,neither,N/A,N/A,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,compatible,incompatible,incompatible,compatible,
Hindi,hin001,bata-,tell ,communication,neither,neither,neither,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,neutral between belief and ignorance,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,phusphusa-,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,
Hindi,hin001,likh-,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,neutral between belief and ignorance,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,faisla,decide,decision,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,undecided,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,incompatible,No
Hindi,hin001,anurodh,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,hukum,order,directive,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,N/A,propose,directive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,sahmat,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,,always belief-implying,undecided,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,N/A,assume,doxastic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,nishcit,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,N/A,be convinced,doxastic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,anjaan,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,typically,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,,neutral between belief and ignorance,undecided,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,maan-ta,believe,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,No
Hindi,hin001,apeksha,expect,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,always,incompatible,incompatible,not focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,No
Hindi,hin001,jaan,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,always belief-implying,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,N/A,suspect,doxastic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,soch-,think,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,sahi,be right ,doxastic evaluative,always veridical,contradictory,redundant,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,always belief-implying,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,galat,be wrong,doxastic evaluative,always anti-veridicial,redundant,contradictory,neither,non-neg-raising,incompatible,always,incompatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,always belief-implying,non-gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,bhool-,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,neutral between belief and ignorance,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,seekh-,learn,doxastic: change of state,neither,neither,neither,always projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,,neutral between belief and ignorance,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,shak,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,khush,be happy,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,hairaan,be surprised,emotive factive,always veridical,contradictory,redundant,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,khed,regret,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,pooch-,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,N/A,be curious,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,N/A,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,jaach-partal,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,N/A,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,dekh-,see,perception,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,typically belief-implying,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,parvah,care,predicates of relevance,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatibe,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus sensitive,gradable,,ignorance-implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,No
Hindi,hin001,saabit,prove,ratification,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,,neutral between belief and ignorance,undecided,Q-to-P veridical,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,compatible,incompatible,
