language,consultantID,predicate othorgraphy,predicate transliteration,English translation,predicate class,veridicality wrt decl,conjoined with negation of complement,conjoined with complement,projection through negation ,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity wrt declaratives,gradability wrt declaratives,belief/ignorance wrt interrogatives,gradability wrt interrogatives,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,FINITE DECLARATIVE: oti/pos + indicative,FINITE DECLARATIVE: na + subjunctive pres,FINITE DECLARATIVE: na + subjunctive past,FINITE DECLARATIVE: pu + indicative,mipos clauses: indicative,mipos clauses: subjunctive pres,mipos clauses: subjunctive past,d-linked constituent interrogative clause: indicative,d-linked constituent interrogative clause: subjunctive pres,d-linked constituent interrogative clause: subjunctive past,non-d-linked constituent interrogative clause: indicative,non-d-linked constituent interrogative clause: subjunctive pres,non-d-linked constituent interrogative clause: subjunctive past,polar interrogative clause,alternative interrogative clause,non-d-linked constituent interrogative clause with main clause syntax,polar interrogative clause with main clause syntax,concealed questions,intransitive use
Greek,ell001,με νοιάζει,me njazi,care,predicates of relevance,typically veridical,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,undecided,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,ell001,γνωρίζω,ghnorizo,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable?,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable
Greek,ell001,γράφω,ghrafo,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,undecided,undecided,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,ell001,δέχομαι,dhehome,accept,assessment,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,unacceptable,undecided,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,undecided
Greek,ell001,δηλώνω,dhilono,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable?,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Greek,ell001,διατάζω,djatazo,order,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Greek,ell001,είμαι σίγουρος,ime sighuros,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ell001,εκπλήσσομαι,ekplisome,be surprised,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ell001,ελπίζω,elpizo,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,ell001,ενημερώνω,enimerono,inform,communication,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,undecided
Greek,ell001,εξηγώ,exigho,explain,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable?,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable?,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable
Greek,ell001,ερευνώ,erevno,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance implying,non-gradable,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,undecided,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable
Greek,ell001,έχω δίκιο,eho dhikio,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,undecided,undecided,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,ell001,θέλω,thelo,want ,desiderative,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,acceptable?,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,ell001,ισχυρίζομαι,ishirizome,claim,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,undecided
Greek,ell001,κάνω λάθος,kano lathos,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,non-neg-raising,compatible,typically,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,undecided,unacceptable,acceptable,undecided,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ell001,λέω,leo,tell ,communication,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable?,acceptable,unacceptable,acceptable?,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,ell001,μαθαίνω,matheno,learn,doxastic: change of state,typically veridical,neither,neither,typically projective,non-neg-raising,typically/always,compatible/incompatible,compatible/incompatible,typically/always,compatible/incompatible,compatible/incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable
Greek,ell001,μετανιώνω,metaniono,regret,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ell001,νομίζω,nomizo,think,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,non-focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable?,acceptable?,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,ell001,ξεχνάω,xehnao,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically ignorance implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,ell001,παραπονιέμαι,paraponieme,complain,communication,typically veridical,neither,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,incompatible,always,incompatible,focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ell001,πείθομαι,pithome,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,ell001,περιμένω,perimeno,expect,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,non-focus sensitive,gradable,always belief-implying,U,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable?,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Greek,ell001,πιστεύω,pistevo,believe,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,ell001,ρωτώ να μάθω,roto na matho,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance implying,non-gradable,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,ell001,προσεύχομαι,prosefhome,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,acceptable,unacceptable,undecided,unacceptable,unacceptable,undecided,undecided,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,ell001,προτείνω,protino,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,non-gradable,typically belief-implying,N/A,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Greek,ell001,προτιμώ,protimo,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,ell001,ρωτάω,rotao,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance implying,non-gradable,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,ell001,συμφωνώ,simfono,agree with X [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,non-focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,ell001,υποθέτω,ipotheto,assume,doxastic,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,ell001,υποψιάζομαι,ipopsiazome,suspect,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,non-focus sensitive,gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable
Greek,ell001,φοβάμαι,fovame,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,undecided,undecided,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ell001,χαίρομαι,herome,be happy,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ell001,ψιθυρίζω,psithirizo,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable?,acceptable?,acceptable,unacceptable,acceptable,acceptable
Greek,ell001,υποστηρίζω,ipostirizo,argue,commincation,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,undecided,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,ell001,είμαι περίεργος,ime perierghos,be curious,inquisitive ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,gradable,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
