language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,Finite declarative clause,Finite d-linked constituent interrogative clause,Finite non-d-linked constituent interrogative clause,Finite polar interrogative clause,Finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,Finite polar interrogative clause with main clause syntax,Non-finite declarative clause without subject,Non-finite d-linked constituent interrogative clause without subject,Non-finite non-d-linked constituent interrogative clause without subject,"
Non-finite polar interrogative without subject",Non-finite alternative interrogative clause without subject,Concealed question,Intransitive use
English,eng001,Assert,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Claim,claim,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
English,eng001,Complain,complain,communication,niether,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(about),*(about),*(about),*(about),unacceptable,unacceptable,unacceptable,*(about),*(about),*(about),*(about),*(about),acceptable
English,eng001,Explain,explain,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Inform,inform,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Tell,tell ,communication,neither,neither,neither,typically projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Whisper,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
English,eng001,Write,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
English,eng001,Decide,decide,decision,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
English,eng001,Demand,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Order,order,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
English,eng001,Propose,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
English,eng001,Agree with someone,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,*(about),?(about),unacceptable,unacceptable,acceptable,acceptable,acceptable,*(about),*(about),*(about),acceptable
English,eng001,Assume,assume,doxastic,neither,neither,neither,neither,typically neg-raising,typically,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,??,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
English,eng001,Be certain,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,*(about),*(about),unacceptable,unacceptable,acceptable,acceptable,acceptable,*(about),*(?about),*(about),acceptable
English,eng001,Be convinced,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(about),*(about),*(about),unacceptable,unacceptable,acceptable,acceptable,acceptable,*(about),*(about),*(about),acceptable
English,eng001,Be unaware,be unaware,doxastic,always veridical,redundant,contradictory,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,focus sensitive,non-gradable,typically ignorance-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,?(of),*(of),acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,*(of),acceptable
English,eng001,Believe,believe,doxastic,neither,neither,neither,neither,typically neg-raising,typically,compatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,?,?,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
English,eng001,Expect,expect,doxastic,neither,neither,neither,neither,typically neg-raising,typically,compatible,compatible,compatible,incompatible,typically,typically,compatible,compatible,not focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Know,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,undecided
English,eng001,Suspect,suspect,doxastic,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,typically,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Think,think,doxastic,neither,neither,neither,neither,typically neg-raising,typically,compatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,typically belief-implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,*(about),*(about),*(about),unacceptable,acceptable,acceptable,acceptable,*(about),*(about),*(about),*(about),*(about),acceptable
English,eng001,Be right,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,typically belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(about),*(about),*(about),*(about),unacceptable,unacceptable,acceptable,*(about),*(about),*(about),*(about),*(about),acceptable
English,eng001,Be wrong,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(about),*(about),*(about),*(about),unacceptable,unacceptable,acceptable,*(about),*(about),*(about),*(about),*(about),acceptable
English,eng001,Forget,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,focus sensitive,non-gradable,typically ignorance-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Learn,learn,doxastic: change of state,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable
English,eng001,Doubt,doubt,dubitative,neither,neither,neither,typically projective,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral ,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Be happy,be happy,emotive factive,typically veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,?(about),*(about),*(about),*(about),unacceptable,unacceptable,acceptable,*(about),*(about),unacceptable,*(about),*(about),acceptable
English,eng001,Be surprised,be surprised,emotive factive,typically veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(by),*(?by),*(by),unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,*(by),acceptable
English,eng001,Regret,regret,emotive factive,typically veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
English,eng001,Ask,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Be curious,be curious,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,*(about),*(about),*(about),acceptable,*(about),acceptable
English,eng001,Inquire,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,undecided,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,*(about),acceptable
English,eng001,Investigate,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,neutral ,gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
English,eng001,Wonder,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,undecided,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,*(about),acceptable
English,eng001,See,see,perception,typically veridical,contradictory,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
English,eng001,Care,care,predicates of relevance,typically veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus sensitive,gradable,neutral ,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,*(about),*(about),unacceptable,unacceptable,*(about),acceptable
English,eng001,Prove,prove,ratification,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
